,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
877,0.11,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Basic Educational Services','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',6276.410015
878,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Classroom Supplies',nan,nan,'Support Services - Instructional Staff','General Supplies *','ITEMR OHSTI',nan,nan,nan,-16268.87
879,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','DEGREED SUBSTITUTE','Basic Educational Services','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',93.72798611
880,nan,nan,'TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,5024.06
881,nan,'All Campus Payroll','Health Services','General Operating Fund','SCHOOL CLINIC ADMINISTRATION','School ','Employee Allowances','NURSE','Undistributed','Operations','Travel Allowances','TRAVEL',nan,nan,'Undistributed',468.1758888
882,nan,nan,'NON-PROJECT',nan,'Food Service Worker I ','FOOD AND NUTRITION SERVICES','EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,6.1
883,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Education Assistants','SUBSTITUTE TEACHER','Support - Regular Instruction',nan,nan,nan,nan,nan,'Regular Instructional Support',56.82
884,0.975245624,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ','OCCUPATIONAL THERAPIST        ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,84810.35356
885,nan,nan,'NON-PROJECT',nan,"'Student Advisor, Midd Sch '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GUIDANCE SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,5362.65
886,nan,nan,'EMPLOYEE RETIREMENT',nan,'Educational Pro-Tech ','TEACHER LEARNING & LEADERSHIP','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,557.86
887,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-3.38
888,nan,nan,'NON-PROJECT',nan,"'Teacher, Secondary (High) '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,121.1428
889,nan,nan,'CORE MATTERS',nan,'Teacher','MATH / SCIENCE','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','MATH/SCIENCE','n/a',nan,48.27512
890,0,'SPEECH',nan,'General Purpose School','TCHER SPEECH/LANGUAGE','District Wide Resources','Personal Services - Speech Pathologists','TEACHER - S.E.  DAYS','Instruction - SPED',nan,nan,nan,nan,nan,'Special Education Instruction',12304.12
891,nan,nan,'FACILITIES ACQ AND CONST      ','MILLAGE                  ',nan,'School ','NONCAPITALIZED  REMOD/RENOV   ',nan,nan,nan,nan,'SAFETY AND SECURITY           ',nan,nan,nan,288.92
892,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,nan,'ENERGY',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,250287.58
893,nan,nan,'NON-PROJECT',nan,'Teacher on Special Assgnmt ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-401.47
894,0.994199965,nan,'NON-PROJECT',nan,'Secretary II ',nan,'SALARIES OF REGULAR EMPLOYEES','OFFICE/ADMINISTRATIVE SUPPORT','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,38611.35344
895,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, PRE-K BILINGUAL'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','PRE-K','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4168.059992
896,nan,nan,'NON-PROJECT',nan,'Studnt Parnt Famly Involvmt ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-446.42
897,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, MATH-HIGH            '",'School ','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,'LOCAL ALLOC SAI               ',nan,nan,nan,1729.9
898,0.94,nan,'Care and Upkeep of Building Services','General','CLEANER','BUILDING OPERATIONS SECTION','Regular *',nan,nan,'Operation and Maintenance of Plant Services',nan,'FACILITIES ADMINISTRATION','FACILITIES',nan,nan,34465.29126
899,0.999052049,nan,'NON-PROJECT',nan,"'Principal, Asst High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,92699.31572
900,0.198917797,nan,'SPECIAL EDUCATION - ITINERANT',nan,'Physical Therapist ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-PT','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,19178.15249
901,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev','Esea Title Ii Part A Teacher & Principal Training',nan,'School ','Travel And Subsistence - Employee Only',nan,'Accelerated Education',nan,'Travel And Subsistence - Employee Only',nan,'TRAVEL',nan,nan,175.54
902,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Consultants',nan,"'""Title I, Part A Schoolwide Activities Related To State Comp'",nan,'Consultants',nan,'CONTRACTED SERVICES',nan,nan,480.07
903,nan,'Instruction And Curriculum','Instruction','General Operating Fund',nan,nan,'General Supplies',nan,"'""Title I, Part A Schoolwide Activities Related To State Comp'",nan,'General Supplies',nan,nan,nan,nan,-1.02
904,1,nan,nan,'General Purpose School','ASSISTANT PRINCIPAL - MIDDLE',nan,'Personal Services - Assistant Principals','ASST PRINCIPAL',"""Principal's Office""",nan,nan,nan,nan,nan,'Office of Principal',79068.4
905,nan,nan,nan,nan,'DRILL/FLAG CORPS/MAJ',nan,'Coaching Supplement',nan,nan,nan,nan,nan,nan,nan,nan,1677.1
906,0,nan,nan,'ITEMFA Schools Partnership',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Support - Regular Instruction',nan,nan,'PRE KINDERGARTEN',nan,nan,'Targeted Pre-K Initiative',70.4699
907,nan,nan,'Direction of Support Services - Pupils *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *',nan,nan,'Support Services--Pupils','Certificated Employees Salaries And Wages','TITLE I SCHOOLWIDE',nan,nan,nan,-931.58
908,nan,nan,'ADMINISTRATIVE ASSISTANT',nan,'Administrators ',nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,499.6
909,1,nan,'NON-PROJECT',nan,"'Principal, Asst Elem Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,81607.83891
910,nan,'Special Programs','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Extended Day','EXTENDED DAYS',nan,nan,'Science Extended Day',546.1670877
911,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,0.44
912,1,nan,nan,'General Fund','Building Custodian II','ADMIN. SERVICES',nan,'BUILDING CUSTODIAN ','Misc',nan,nan,nan,nan,nan,nan,61404.09
913,nan,nan,'WELLNESS COORDINATOR',nan,'(blank)','SCHOOL NURSE SERVICES','OTHER PROFESSIONAL SERVICES','UNDESIGNATED','OTHER GENERAL EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION','SCHOOL NURSE SERVICES','n/a',nan,2470.21
914,nan,nan,'EMPLOYEE RETIREMENT',nan,'Food Service Worker II ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,147.77
915,1,nan,nan,'General Fund','Teacher-Elementary ',nan,nan,'1ST GRADE ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,nan,63004.26
916,nan,nan,'Statistical Services *','General',nan,nan,'Postage',nan,nan,'Support Services - Central','Communications *','STUDENT ASSIGNMENTS',nan,nan,nan,15365.04
917,nan,nan,'NON-PROJECT',nan,"'Teacher, Short Term Sub '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-12.92
918,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, SECOND               '",'School ','SUPPLIES                      ',nan,nan,nan,nan,'TEACHER LEAD                  ',nan,nan,nan,183.36
919,0.02797306,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TSA, ESE                      '",'School ','CLASSROOM TEACHER             ',nan,nan,nan,nan,nan,nan,nan,nan,1475.014088
920,0,nan,nan,'School Federal Projects',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,'ESEA TITLE I DISADVANTAGED',nan,nan,'Title I - Teachers',142.0599
921,0.004310345,nan,'FUND FOR THE IMPROVEMENT OF ED',nan,"'Teacher,Retrd Shrt Term Sub '",'INTERDISCIPLINARY','SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','COLLEGE READY','n/a',nan,129.1249849
922,nan,nan,'NON-PROJECT',nan,"'Teacher, Secondary (High) '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,247.67088
923,nan,nan,'SPECIAL PROGRAM FUNDING',nan,'Reading & Writing Asst ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,426.26
924,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplies and Materials',nan,nan,'Community Services','Supplies And Materials',' TITLE I PI+HOMELESS',nan,nan,nan,2304.43
925,nan,nan,'NON-PROJECT',nan,'Teacher Secondary (Middle) ',nan,'TEACHER COVERAGE FOR TEACHER','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,121.1128
926,1,nan,nan,'General Fund','Bus Driver                              ','Transportation',nan,'BUS DRIVER                              ','PUPIL TRANSPORTATION',nan,nan,nan,nan,nan,nan,21927.61589
927,1,'All Campus Payroll','Health Services','General Operating Fund','SCHOOL CLINIC ADMINISTRATION','School ','Salaries And Wages For Teachers And Other Professi','NURSE','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',49227.37788
928,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','DEGREED SUBSTITUTE','PRE-K','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,188.1959722
929,nan,nan,'STATE ELPA (ENG LANG PROF ACT)',nan,'ELA General Assignment ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,41.14
930,nan,nan,'MESA',nan,"'Teacher,Retrd Shrt Term Sub '",'MIDDLE SCHOOL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'n/a',nan,1.74
931,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,40.98
932,0,nan,'INST STAFF TRAINING SVCS      ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ',"""WORKERS' COMPENSATION         """,nan,'FDLRS                         ',nan,nan,'NATIONAL LITERACY PROJECT     ',nan,nan,nan,0.77
933,nan,nan,'NON-PROJECT',nan,'Asst Coach ','ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','MALE ATHLETICS/SPORTS ACTIVITI','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,nan
934,nan,nan,'NON-PROJECT',nan,"'Supt, Instructional '",'ALTERNATIVE ED / CONSTITUENCY','EMPLOYEE BENEFITS','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ALTERNATIVE ED / CONSTITUENCY','n/a',nan,3032.96
935,nan,nan,'NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2634.63776
936,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,39.37672
937,nan,nan,'INSTRUCTION','General Fund',nan,nan,'OTHER PURCHASED SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,326.6
938,nan,nan,'EMPLOYEE RETIREMENT',nan,'Custodian Asst II ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,273.81
939,nan,nan,'NON-PROJECT',nan,'Principal',nan,'EMPLOYEE BENEFITS','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,4665.25
940,1,nan,nan,nan,'SPECIAL POLICE OFFICER','SECURITY',nan,nan,nan,'LOCAL',nan,nan,'SECURITY SERVICES',nan,nan,44674.31413
941,0.990983588,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','Regular',nan,29643.84146
942,0.114485721,nan,'SPECIAL ED. - MILD/MODERATE',nan,nan,nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','SPECIAL EDUCATION','GENERAL FUND',nan,'SPECIAL EDUCATION','MILD MODERATE','Regular',nan,2263.625753
943,nan,'Instruction And Curriculum','Instruction','Title Iv Part B  Century Community Learning Ce',"'CLERICAL, SCHOOL ADMIN.'",'School ','Extra Duty Pay/Overtime For Support Personnel','ASSISTANT PRINCIPAL SECRETARY','Basic Educational Services','Learning Center','Extra Duty Pay/Overtime For Support Personnel','MISCELLANEOUS ',nan,nan,'Basic Educational Services - District Objective ',247.68
944,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - SPED',nan,nan,nan,nan,nan,'Special Education Instruction',352.7999
945,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'GENERAL SUPPLIES','UNDESIGNATED','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,129.48
946,nan,nan,'Middle/Junior High','Special Trust',nan,nan,'Supplies and Materials',nan,nan,'Regular Instruction','Supplies And Materials','CTR COMM SOL-BRICK MALE',nan,nan,nan,9909.01
947,0.35,'All Campus Payroll',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'COUNSELOR, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','COUNSELOR HIGH SCHOOL','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',29049.75535
948,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,5000.88
949,0.2,nan,nan,'General Fund','Physical Therapist',nan,nan,'PHYSICAL THERAPIST ','SPECIAL EDUCATION CATEGORY V',nan,nan,nan,nan,nan,nan,nan
950,0.750021262,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,40754.0254
951,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, ESL EDUCATION'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,78.02875863
952,0.043702567,nan,'TITLE I A - ARRA',nan,'Campus Security Officer ','SUMMER SCHOOL - MIDDLE SCHOOLS','SALARIES OF PART TIME EMPLOYEE',"'CRAFTS, TRADES, AND SERVICES'",'SECURITY SERVICES','ARRA - STIMULUS',nan,'OPERATION AND MAINT OF PLANT','GRANTS MANAGEMENT','n/a',nan,940.7102174
953,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'TELEPHONE/FACSIMILE SERVICES','UNDESIGNATED','INFORMATION SYSTEMS SERVICES','GENERAL FUND',nan,'CENTRAL',nan,'Regular',nan,7302
954,nan,nan,'Instructional Staff Training Services *','Title  School Improvement Stimulus G',nan,nan,'Supplemental *',nan,nan,'Support Services - Instructional Staff','Certificated Employees Salaries And Wages',' SI COMP ',nan,nan,nan,-15604.68
955,nan,nan,'INSTRUCTIONAL MEDIA SERVICES  ','GENERAL FUND                  ','LIBRARY/MEDIA SPECIALIST-MID  ','School ','BONUSES                       ',nan,nan,nan,nan,'SCHOOL RECOGNITION            ',nan,nan,nan,1049.78
956,1,nan,'Security Services','General','SECURITY OFFICER','EN SECURITY','Regular *',nan,nan,'Operation and Maintenance of Plant Services',nan,'SAFETY & SECURITY','SAFETY',nan,nan,44854.81546
957,nan,nan,'ARRA - NBPTS CERT TCHR GRANT',nan,"'Teacher, Elementary '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,1621.66864
958,1,nan,'INSTRUCTIONAL MEDIA SERVICES  ','GENERAL FUND                  ','LIBRARY/MEDIA SPECIALIST-MID  ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,52048.72109
959,nan,nan,'NON-PROJECT',nan,'Asst Coach ','ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','MALE ATHLETICS/SPORTS ACTIVITI','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,3307.12968
960,nan,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ',"'TEACHER, ID                   '",'School ','BONUSES                       ',nan,nan,nan,nan,'SCHOOL RECOGNITION            ',nan,nan,nan,929.15
961,1,nan,'State and Federal Projects Coordination Services*','Title I - Disadvantaged Children/Targeted Assistance','FIN SUPPORT ANA FUNDED PROG','BUDGET DIVISION','Regular *',nan,nan,'Support Services - Administration',nan,'ADMIN','ADM/PROF',nan,nan,64672.79474
962,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Other Compensation','SECURITY -  DAYS','Support - Regular Instruction',nan,nan,nan,nan,nan,'Regular Instructional Support',69.68101245
963,nan,nan,'ELPA - PRESCHOOL PROG',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,251.35
964,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,25032.38
965,nan,nan,'TITLE I A - ARRA',nan,"'Teacher, Short Term Sub '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,104.20064
966,nan,nan,'School Leadership','Campus Activity Funds',nan,'School ','Insurance And Bonding Costs',nan,'Undistributed',nan,'Insurance And Bonding Costs',nan,nan,nan,nan,71.74
967,1,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','CLERICAL ASST I               ','School ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,nan,nan,nan,nan,24822.75109
968,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,253.01
969,nan,nan,'IDEA ARRA',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L-ATRT','ARRA - STIMULUS',nan,'SPECIAL EDUCATION',nan,'n/a',nan,500.45
